Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2023-10-09,-0.088745257,-0.065947062,-0.063137737,21,100
Market-Adjusted Model,10028,2023-10-09,-0.20159684,-0.195866664,-0.175989319,21,100
Market-Adjusted Model,10032,2023-10-09,-0.010968375,0.0156677673,0.0146391456,21,100
Market-Adjusted Model,10044,2023-10-09,-0.147368381,-0.129721157,-0.12176086,21,100
Market-Adjusted Model,10065,2023-10-09,-0.031952604,-0.006610048,-0.006345084,21,100
Market-Adjusted Model,10066,2023-10-09,-0.035058363,-0.002605848,-0.009450843,21,100
Market-Adjusted Model,10104,2023-10-09,-0.045783839,-0.018182574,-0.020176318,21,100
Market-Adjusted Model,10107,2023-10-09,0.0388315728,0.0648936459,0.0644390932,21,100
Market-Adjusted Model,10113,2023-10-09,-0.037319475,-0.01086874,-0.011711954,21,100
Market-Adjusted Model,10138,2023-10-09,-0.094556153,-0.071646434,-0.068948633,21,100
Market-Adjusted Model,10145,2023-10-09,-0.04879331,-0.023410871,-0.02318579,21,100
Market-Adjusted Model,10158,2023-10-09,-0.320314363,-0.340046326,-0.294706842,21,100
Market-Adjusted Model,10200,2023-10-09,-0.104515718,-0.081767797,-0.078908198,21,100
Market-Adjusted Model,10207,2023-10-09,-0.054593917,-0.02989429,-0.028986396,21,100
Market-Adjusted Model,10220,2023-10-09,0.0125556943,0.039891874,0.0381632148,21,100
Market-Adjusted Model,10252,2023-10-09,-0.026986391,0.0015219241,-0.001378871,21,100
Market-Adjusted Model,10253,2023-10-09,-0.200597293,-0.185663499,-0.174989772,21,100
Market-Adjusted Model,10257,2023-10-09,0.0950792649,0.1277312406,0.1206867853,21,100
Market-Adjusted Model,10258,2023-10-09,-0.044400822,-0.01106331,-0.018793302,21,100
Market-Adjusted Model,10294,2023-10-09,-0.071182367,-0.043898791,-0.045574846,21,100
Market-Adjusted Model,10308,2023-10-09,0.0283117772,0.0562837971,0.0539192976,21,100
Market-Adjusted Model,10318,2023-10-09,-0.041669964,-0.015575621,-0.016062444,21,100
Market-Adjusted Model,10333,2023-10-09,0.1066411276,0.1408364911,0.132248648,21,100
Market-Adjusted Model,10355,2023-10-09,0.0217057126,0.0474727171,0.0473132331,21,100
Market-Adjusted Model,10382,2023-10-09,-0.128855056,-0.108803343,-0.103247535,21,100
Market-Adjusted Model,10397,2023-10-09,-0.056554723,-0.02953158,-0.030947202,21,100
Market-Adjusted Model,10421,2023-10-09,-0.107321728,-0.083939491,-0.081714208,21,100
Market-Adjusted Model,10443,2023-10-09,-0.030472389,-0.004522995,-0.004864869,21,100
Market-Adjusted Model,10463,2023-10-09,-0.086206922,-0.049440644,-0.060599402,21,100
Market-Adjusted Model,10501,2023-10-09,-0.083756008,-0.055945551,-0.058148487,21,100
Market-Adjusted Model,10516,2023-10-09,-0.059495994,-0.03518842,-0.033888473,21,100
Market-Adjusted Model,10517,2023-10-09,-0.065069609,-0.036836527,-0.039462089,21,100
Market-Adjusted Model,10547,2023-10-09,-0.162092307,-0.144056172,-0.136484787,21,100
Market-Adjusted Model,10550,2023-10-09,0.051628778,0.085634166,0.0772362984,21,100
Market-Adjusted Model,10606,2023-10-09,-0.012302757,0.0163840396,0.0133047634,21,100
Market-Adjusted Model,10629,2023-10-09,0.0037842908,0.0317994238,0.0293918113,21,100
Market-Adjusted Model,10645,2023-10-09,0.0213618591,0.0492457306,0.0469693796,21,100
Market-Adjusted Model,10649,2023-10-09,-0.181685403,-0.162218576,-0.156077882,21,100
Market-Adjusted Model,10661,2023-10-09,-0.012786437,0.0272198886,0.0128210839,21,100
Market-Adjusted Model,10693,2023-10-09,-0.111990152,-0.091601595,-0.086382632,21,100
Market-Adjusted Model,10696,2023-10-09,-0.055737434,-0.031156923,-0.030129913,21,100
Market-Adjusted Model,10777,2023-10-09,-0.049381845,-0.021393075,-0.023774324,21,100
Market-Adjusted Model,10779,2023-10-09,0.2097515879,0.2279348702,0.2353591083,21,100
Market-Adjusted Model,10812,2023-10-09,-0.034459935,-0.007755764,-0.008852415,21,100
Market-Adjusted Model,10860,2023-10-09,-0.058407067,-0.028756051,-0.032799546,21,100
Market-Adjusted Model,10866,2023-10-09,-0.037009623,-0.006302078,-0.011402103,21,100
Market-Adjusted Model,10874,2023-10-09,-0.096117155,-0.073193102,-0.070509635,21,100
Market-Adjusted Model,10886,2023-10-09,-0.224052937,-0.14682155,-0.198445416,21,100
Market-Adjusted Model,10890,2023-10-09,-0.142414872,-0.116897949,-0.116807351,21,100
Market-Adjusted Model,10892,2023-10-09,-0.040279681,-0.012490786,-0.01467216,21,100
Market-Adjusted Model,10901,2023-10-09,-0.055172427,-0.030065318,-0.029564907,21,100
Market-Adjusted Model,10932,2023-10-09,-0.059686592,-0.031473619,-0.034079072,21,100
Market-Adjusted Model,10933,2023-10-09,-0.059215136,-0.034841891,-0.033607615,21,100
Market-Adjusted Model,10966,2023-10-09,-0.19793811,-0.181265072,-0.17233059,21,100
Market-Adjusted Model,11006,2023-10-09,-0.086298877,-0.062474598,-0.060691356,21,100
Market-Adjusted Model,11018,2023-10-09,-0.003032599,0.0263792233,0.0225749211,21,100
Market-Adjusted Model,11043,2023-10-09,-0.323406355,-0.342613735,-0.297798835,21,100
Market-Adjusted Model,11144,2023-10-09,-0.172562552,-0.157439879,-0.146955031,21,100
Market-Adjusted Model,11153,2023-10-09,-0.064220174,-0.034882625,-0.038612653,21,100
Market-Adjusted Model,11154,2023-10-09,-0.02948783,-0.000474997,-0.003880309,21,100
Market-Adjusted Model,11174,2023-10-09,-0.234279307,-0.232611057,-0.208671787,21,100
Market-Adjusted Model,11203,2023-10-09,-3.81267E-11,0.0252083726,0.0256075204,21,100
Market-Adjusted Model,11208,2023-10-09,0.0218778689,0.0496245562,0.0474853893,21,100
Market-Adjusted Model,11264,2023-10-09,-0.076363648,-0.037151455,-0.050756128,21,100
Market-Adjusted Model,11267,2023-10-09,-0.112923419,-0.088086873,-0.087315899,21,100
Market-Adjusted Model,11275,2023-10-09,-0.146428514,-0.123413384,-0.120820993,21,100
Market-Adjusted Model,11285,2023-10-09,-0.001752811,0.0261792534,0.0238547097,21,100
Market-Adjusted Model,11292,2023-10-09,-0.164206614,-0.147618004,-0.138599094,21,100
Market-Adjusted Model,11293,2023-10-09,0.0046808791,0.032410535,0.0302883996,21,100
Market-Adjusted Model,11308,2023-10-09,-0.061111057,-0.035711183,-0.035503536,21,100
Market-Adjusted Model,11368,2023-10-09,0.0426009341,0.0724218088,0.0682084546,21,100
Market-Adjusted Model,11369,2023-10-09,-0.021690352,0.0059141438,0.0039171685,21,100
Market-Adjusted Model,11370,2023-10-09,-0.201836742,-0.190843841,-0.176229222,21,100
Market-Adjusted Model,11379,2023-10-09,-0.032482568,-0.001181777,-0.006875048,21,100
Market-Adjusted Model,11394,2023-10-09,-0.078838201,-0.03604287,-0.053230681,21,100
Market-Adjusted Model,11397,2023-10-09,-0.057554207,-0.031026008,-0.031946687,21,100
Market-Adjusted Model,11403,2023-10-09,0.0401456434,0.0672063826,0.0657531638,21,100
Market-Adjusted Model,11404,2023-10-09,-0.046680671,-0.020179207,-0.02107315,21,100
Market-Adjusted Model,11407,2023-10-09,-0.114478736,-0.092829234,-0.088871216,21,100
Market-Adjusted Model,11442,2023-10-09,0.0209292607,0.0471790323,0.0465367811,21,100
Market-Adjusted Model,11481,2023-10-09,-0.506465539,-0.63893949,-0.480858018,21,100
Market-Adjusted Model,11499,2023-10-09,-0.059574497,-0.031970894,-0.033966976,21,100
Market-Adjusted Model,11511,2023-10-09,-0.062043822,-0.034702044,-0.036436302,21,100
Market-Adjusted Model,11533,2023-10-09,0.0423603941,0.0695430572,0.0679679145,21,100
Market-Adjusted Model,11547,2023-10-09,-0.068610996,-0.039023526,-0.043003476,21,100
Market-Adjusted Model,11565,2023-10-09,-0.039607906,-0.010383011,-0.014000386,21,100
Market-Adjusted Model,11581,2023-10-09,0.0805672061,0.115278733,0.1061747265,21,100
Market-Adjusted Model,11587,2023-10-09,-0.214909725,-0.209019043,-0.189302205,21,100
Market-Adjusted Model,11593,2023-10-09,-0.11002446,-0.085861165,-0.08441694,21,100
Market-Adjusted Model,11600,2023-10-09,-0.041539056,-0.014140854,-0.015931535,21,100
Market-Adjusted Model,11618,2023-10-09,0.0584763356,0.0859829006,0.084083856,21,100
Market-Adjusted Model,11628,2023-10-09,-0.051452805,-0.024385098,-0.025845284,21,100
Market-Adjusted Model,11636,2023-10-09,-0.404356434,-0.461677588,-0.378748913,21,100
Market-Adjusted Model,11644,2023-10-09,0.1555555222,0.1798544014,0.1811630427,21,100
Market-Adjusted Model,11654,2023-10-09,-0.094368395,-0.06737852,-0.068760874,21,100
Market-Adjusted Model,11664,2023-10-09,-0.106745704,-0.081201731,-0.081138184,21,100
Market-Adjusted Model,11674,2023-10-09,-0.096412748,-0.073167837,-0.070805227,21,100
Market-Adjusted Model,11691,2023-10-09,-0.024457135,0.0027710436,0.0011503853,21,100
Market-Adjusted Model,11701,2023-10-09,0.0408547725,0.0676408397,0.066462293,21,100
Market-Adjusted Model,11731,2023-10-09,-0.048868614,-0.022893882,-0.023261094,21,100
Market-Adjusted Model,11748,2023-10-09,-0.040319773,-0.010299149,-0.014712252,21,100
Market-Adjusted Model,11752,2023-10-09,-0.0092741,0.0241743924,0.0163334202,21,100
Market-Adjusted Model,11762,2023-10-09,-0.080833262,-0.054670865,-0.055225742,21,100
Market-Adjusted Model,11775,2023-10-09,-0.045168974,-0.018697561,-0.019561453,21,100
Market-Adjusted Model,11790,2023-10-09,-0.08997272,-0.06715994,-0.064365199,21,100
Market-Adjusted Model,11803,2023-10-09,-0.100934576,-0.076967918,-0.075327055,21,100
Market-Adjusted Model,11809,2023-10-09,-0.07110393,-0.045386935,-0.04549641,21,100
Market-Adjusted Model,11844,2023-10-09,0.0738552446,0.0978991711,0.099462765,21,100
Market-Adjusted Model,11845,2023-10-09,-0.046273091,-0.018792221,-0.020665571,21,100
Market-Adjusted Model,11850,2023-10-09,-0.047764095,-0.019564086,-0.022156575,21,100
Market-Adjusted Model,11884,2023-10-09,-0.081015413,-0.054216662,-0.055407893,21,100
Market-Adjusted Model,11891,2023-10-09,0.0027366861,0.0322307937,0.0283442066,21,100
Market-Adjusted Model,11955,2023-10-09,-0.003259374,0.0228048742,0.0223481462,21,100
Market-Adjusted Model,11990,2023-10-09,-0.111486489,-0.088406706,-0.085878969,21,100
Market-Adjusted Model,11995,2023-10-09,-0.047752098,-0.021038375,-0.022144578,21,100
Market-Adjusted Model,11996,2023-10-09,-0.024088764,0.0011374754,0.0015187565,21,100
Market-Adjusted Model,12008,2023-10-09,-0.067589714,-0.040720373,-0.041982194,21,100
Market-Adjusted Model,12009,2023-10-09,-0.036363598,-0.004165858,-0.010756077,21,100
Market-Adjusted Model,12015,2023-10-09,-0.037931027,-0.011037827,-0.012323506,21,100
Market-Adjusted Model,12017,2023-10-09,-0.446674199,-0.502387274,-0.421066679,21,100
Market-Adjusted Model,12034,2023-10-09,0.0179879741,0.0443203645,0.0435954946,21,100
Market-Adjusted Model,12035,2023-10-09,0.0116667052,0.0377127468,0.0372742256,21,100
Market-Adjusted Model,12036,2023-10-09,-0.033873521,-0.007470437,-0.008266001,21,100
Market-Adjusted Model,12039,2023-10-09,-0.031253579,-0.00448152,-0.005646058,21,100
Market-Adjusted Model,12049,2023-10-09,-0.077827083,-0.034464471,-0.052219562,21,100
Market-Adjusted Model,12052,2023-10-09,0.0746095598,0.1013890504,0.1002170802,21,100
Market-Adjusted Model,12054,2023-10-09,-0.021269671,0.0044877938,0.0043378497,21,100
Market-Adjusted Model,12059,2023-10-09,-0.010838708,0.0144668739,0.0147688128,21,100
Market-Adjusted Model,12060,2023-10-09,-0.040302018,-0.014113264,-0.014694498,21,100
Market-Adjusted Model,12062,2023-10-09,-0.035193766,-0.009766565,-0.009586245,21,100
Market-Adjusted Model,12064,2023-10-09,0.0040393862,0.0292366313,0.0296469067,21,100
Market-Adjusted Model,12065,2023-10-09,-0.014938163,0.0103699456,0.0106693579,21,100
Market-Adjusted Model,12066,2023-10-09,-0.006400564,0.0197220355,0.0192069561,21,100
Market-Adjusted Model,12068,2023-10-09,-0.045423253,-0.018455503,-0.019815733,21,100
Market-Adjusted Model,12070,2023-10-09,-0.04334749,-0.016446316,-0.017739969,21,100
Market-Adjusted Model,12075,2023-10-09,-0.030728157,-0.004858978,-0.005120637,21,100
Market-Adjusted Model,12076,2023-10-09,-0.018659704,0.0159643334,0.0069478164,21,100
Market-Adjusted Model,12078,2023-10-09,-0.041860449,-0.011334223,-0.016252928,21,100
Market-Adjusted Model,12082,2023-10-09,-0.00026263,0.0338460484,0.0253448901,21,100
Market-Adjusted Model,12084,2023-10-09,-0.073377651,-0.047647638,-0.047770131,21,100
Market-Adjusted Model,12098,2023-10-09,-0.038389189,-0.013179037,-0.012781669,21,100
Market-Adjusted Model,12103,2023-10-09,-0.039776221,-0.015199941,-0.014168701,21,100
Market-Adjusted Model,12105,2023-10-09,-0.058243694,-0.033540212,-0.032636174,21,100
Market-Adjusted Model,12109,2023-10-09,-0.078228807,-0.052484418,-0.052621287,21,100
Market-Adjusted Model,12146,2023-10-09,0.1870369881,0.2020920725,0.2126445085,21,100
Market-Adjusted Model,12189,2023-10-09,-0.175555545,-0.155184681,-0.149948025,21,100
Market-Adjusted Model,12209,2023-10-09,-0.07971012,-9.868367E-6,-0.054102599,21,100
Market-Adjusted Model,12211,2023-10-09,0.0507322225,0.0899136193,0.0763397429,21,100
Market-Adjusted Model,12219,2023-10-09,-0.063385495,-0.038901473,-0.037777975,21,100
Market-Adjusted Model,12226,2023-10-09,-0.037250422,-0.008503355,-0.011642902,21,100
Market-Adjusted Model,12266,2023-10-09,-0.260416713,-0.257998464,-0.234809192,21,100
Market-Adjusted Model,12287,2023-10-09,-0.009136184,0.0172380129,0.0164713363,21,100
Market-Adjusted Model,12289,2023-10-09,-0.026514743,-0.001382617,-0.000907223,21,100
Market-Adjusted Model,12292,2023-10-09,-0.040394973,-0.014705426,-0.014787452,21,100
Market-Adjusted Model,12294,2023-10-09,-0.013116913,0.0126389576,0.0124906079,21,100
Market-Adjusted Model,12295,2023-10-09,-0.035035498,-0.009763534,-0.009427977,21,100
Market-Adjusted Model,12296,2023-10-09,-0.060117363,-0.035068741,-0.034509843,21,100
Market-Adjusted Model,12297,2023-10-09,-0.043364933,-0.017749293,-0.017757412,21,100
Market-Adjusted Model,12301,2023-10-09,-0.054162827,-0.028968141,-0.028555306,21,100
Market-Adjusted Model,12302,2023-10-09,-0.058079806,-0.033016167,-0.032472285,21,100
Market-Adjusted Model,12303,2023-10-09,-0.040360695,-0.014711174,-0.014753175,21,100
Market-Adjusted Model,12304,2023-10-09,-0.049040947,-0.023629266,-0.023433427,21,100
Market-Adjusted Model,12305,2023-10-09,-0.023139072,0.0024421523,0.0024684485,21,100
Market-Adjusted Model,12308,2023-10-09,-0.033557207,-0.006940545,-0.007949687,21,100
Market-Adjusted Model,12310,2023-10-09,-0.076923066,-0.044939732,-0.051315545,21,100
Market-Adjusted Model,12313,2023-10-09,-0.024431377,0.0011636538,0.0011761435,21,100
Market-Adjusted Model,12314,2023-10-09,-0.005828267,0.020380134,0.0197792537,21,100
Market-Adjusted Model,12315,2023-10-09,-0.045062446,-0.020256151,-0.019454925,21,100
Market-Adjusted Model,12316,2023-10-09,-0.025923831,-0.000317932,-0.000316311,21,100
Market-Adjusted Model,12317,2023-10-09,-0.066071406,-0.041532047,-0.040463886,21,100
Market-Adjusted Model,12318,2023-10-09,-0.061040736,-0.036272346,-0.035433215,21,100
Market-Adjusted Model,12321,2023-10-09,-0.057438414,-0.032398854,-0.031830894,21,100
Market-Adjusted Model,12325,2023-10-09,-0.193911281,-0.18192498,-0.16830376,21,100
Market-Adjusted Model,12326,2023-10-09,-0.002278217,0.0242169352,0.0233293031,21,100
Market-Adjusted Model,12329,2023-10-09,-0.051410653,-0.025179765,-0.025803132,21,100
Market-Adjusted Model,12331,2023-10-09,-0.038204089,-0.011309784,-0.012596569,21,100
Market-Adjusted Model,12332,2023-10-09,-0.087420009,-0.055818769,-0.061812489,21,100
Market-Adjusted Model,12333,2023-10-09,-0.157855576,-0.141512416,-0.132248056,21,100
Market-Adjusted Model,12338,2023-10-09,-0.031172128,-0.003534249,-0.005564607,21,100
Market-Adjusted Model,12339,2023-10-09,0.3291839086,0.3286927491,0.3547914291,21,100
Market-Adjusted Model,12341,2023-10-09,-0.023601382,0.0018225732,0.0020061386,21,100
Market-Adjusted Model,12345,2023-10-09,-0.049546667,-0.023818376,-0.023939147,21,100
Market-Adjusted Model,12350,2023-10-09,-0.577735819,-0.776800413,-0.552128299,21,100
Market-Adjusted Model,12355,2023-10-09,-0.033117505,-0.005660103,-0.007509985,21,100
Market-Adjusted Model,12358,2023-10-09,0.0129032961,0.0570012252,0.0385108166,21,100
Market-Adjusted Model,12360,2023-10-09,-0.187919392,-0.166529278,-0.162311871,21,100
Market-Adjusted Model,12363,2023-10-09,0.1334405885,0.1570533803,0.159048109,21,100
Market-Adjusted Model,12366,2023-10-09,0.129458819,0.1494710194,0.1550663395,21,100
Market-Adjusted Model,12367,2023-10-09,0.091388811,0.2396350075,0.1169963315,21,100
Market-Adjusted Model,12368,2023-10-09,-0.054805244,-0.030084781,-0.029197723,21,100
Market-Adjusted Model,12369,2023-10-09,-0.103130825,-0.080258412,-0.077523304,21,100
Market-Adjusted Model,12370,2023-10-09,-0.011498116,0.0180003549,0.0141094047,21,100
Market-Adjusted Model,12372,2023-10-09,-0.042179954,-0.012659675,-0.016572434,21,100
Market-Adjusted Model,12373,2023-10-09,-0.10053837,-0.077959705,-0.07493085,21,100
Market-Adjusted Model,12376,2023-10-09,-0.04771119,-0.021163908,-0.02210367,21,100
Market-Adjusted Model,12377,2023-10-09,-0.059349632,-0.030955964,-0.033742111,21,100
Market-Adjusted Model,12380,2023-10-09,0.1395601508,0.1595788283,0.1651676712,21,100
Market-Adjusted Model,12385,2023-10-09,-0.070694579,-0.046133634,-0.045087058,21,100
Market-Adjusted Model,12391,2023-10-09,-0.005764953,0.0208783194,0.0198425677,21,100
Market-Adjusted Model,12397,2023-10-09,0.167785226,0.267932334,0.1933927464,21,100
Market-Adjusted Model,12400,2023-10-09,-0.091105129,-0.067472041,-0.065497609,21,100
Market-Adjusted Model,12411,2023-10-09,-0.124352277,-0.099607096,-0.098744756,21,100
Market-Adjusted Model,12412,2023-10-09,-0.066801053,-0.042872588,-0.041193533,21,100
Market-Adjusted Model,12431,2023-10-09,-0.062609144,-0.034915234,-0.037001623,21,100
Market-Adjusted Model,12442,2023-10-09,-0.032838169,0.0058187354,-0.007230648,21,100
Market-Adjusted Model,12443,2023-10-09,0.0149011584,0.0545478032,0.0405086788,21,100
Market-Adjusted Model,12447,2023-10-09,0.0724070144,0.1062591139,0.0980145349,21,100
Market-Adjusted Model,12449,2023-10-09,-0.117267956,-0.097033376,-0.091660435,21,100
Market-Adjusted Model,12452,2023-10-09,-0.083832349,-0.058344717,-0.058224829,21,100
Market-Adjusted Model,12453,2023-10-09,0.0017313635,0.0269530793,0.027338884,21,100
Market-Adjusted Model,12457,2023-10-09,-0.013235799,0.0132287227,0.0123717213,21,100
Market-Adjusted Model,12461,2023-10-09,-0.115961735,-0.09575815,-0.090354215,21,100
Market-Adjusted Model,12462,2023-10-09,-0.076779582,-0.051876622,-0.051172062,21,100
Market-Adjusted Model,12472,2023-10-09,-0.118892436,-0.097677224,-0.093284915,21,100
Market-Adjusted Model,12473,2023-10-09,-0.009703002,0.0263074216,0.0159045189,21,100
